"","ac","pr","re","f1"
"E_protein",99.68,100,96.55,98
"N_C-terminaldomain",99.68,100,100,100
"N_N-terminaldomain",99.68,99.82,100,100
"NSP1_protein",99.68,100,95.83,98
"NSP10_protein",99.68,100,100,100
"NSP12_protein",99.68,100,100,100
"NSP13_protein",99.68,100,100,100
"NSP14_protein",99.68,100,100,100
"NSP15_protein",99.68,100,100,100
"NSP16_protein",99.68,99.61,100,100
"NSP2_protein",99.68,100,100,100
"NSP3_cd21525_SUD_C_SARS-CoV_Nsp3",99.68,99.2,100,100
"NSP3_cd21557_Macro_X_Nsp3-like",99.68,99.19,99.19,99
"NSP3_cd21717_TM_Y_SARS-CoV-like_Nsp3_C",99.68,100,99.19,100
"NSP3_cd21732_betaCoV_PLPro",99.68,99.18,100,100
"NSP3_cd21822_SARS-CoV-like_Nsp3_NAB",99.68,98.33,99.16,99
"NSP3_cl00019_Macro_SF",99.68,100,97.62,99
"NSP3_cl13138_SUD-M",99.68,99.17,95.97,98
"NSP3_cl13772_DUF3655",99.68,100,100,100
"NSP5_protein",99.68,100,99.59,100
"NSP7_protein",99.68,100,100,100
"NSP8_protein",99.68,99.5,100,100
"NSP9_protein",99.68,98.21,99.4,99
"orf3a_protein",99.68,100,100,100
"orf7a_protein",99.68,100,100,100
"orf8_protein",99.68,100,100,100
"orf9b_protein",99.68,91.3,100,95
"S_protein",99.68,100,100,100
"29",99.68,99.4110714285714,99.375,99.4642857142857
