"","ac","pr","re","f1"
"Average",99.66,99.4157142857143,99.1167857142857,99.25
"E_protein",99.66,98.31,100,99
"N_C-terminaldomain",99.66,100,99.82,100
"N_N-terminaldomain",99.66,100,100,100
"NSP1_protein",99.66,100,95.83,98
"NSP10_protein",99.66,100,99.55,100
"NSP12_protein",99.66,100,100,100
"NSP13_protein",99.66,100,100,100
"NSP14_protein",99.66,100,100,100
"NSP15_protein",99.66,100,100,100
"NSP16_protein",99.66,100,100,100
"NSP2_protein",99.66,100,100,100
"NSP3_cd21525_SUD_C_SARS-CoV_Nsp3",99.66,94.62,99.19,97
"NSP3_cd21557_Macro_X_Nsp3-like",99.66,100,100,100
"NSP3_cd21717_TM_Y_SARS-CoV-like_Nsp3_C",99.66,100,99.19,100
"NSP3_cd21732_betaCoV_PLPro",99.66,100,100,100
"NSP3_cd21822_SARS-CoV-like_Nsp3_NAB",99.66,98.32,98.32,98
"NSP3_cl00019_Macro_SF",99.66,100,97.62,99
"NSP3_cl13138_SUD-M",99.66,99.17,96.77,98
"NSP3_cl13772_DUF3655",99.66,100,100,100
"NSP5_protein",99.66,100,100,100
"NSP7_protein",99.66,100,100,100
"NSP8_protein",99.66,100,100,100
"NSP9_protein",99.66,98.22,100,99
"orf3a_protein",99.66,100,96.67,98
"orf7a_protein",99.66,100,92.31,96
"orf8_protein",99.66,95,100,97
"orf9b_protein",99.66,100,100,100
"S_protein",99.66,100,100,100
