pdbID	chainID	DESCRIPTION	VIRUS
7n01	C	 Spike glycoprotein	SARS-CoV-2
7n01	B	 Spike glycoprotein	SARS-CoV-2
7n01	A	 Spike glycoprotein	SARS-CoV-2
6m3w	C	 Spike glycoprotein	SARS-CoV
6m3w	B	 Spike glycoprotein	SARS-CoV
6m3w	A	 Spike glycoprotein	SARS-CoV
5x4s	A	 Spike glycoprotein	SARS-CoV
7lm9	A	 Spike glycoprotein	SARS-CoV
7jn5	F	 Spike glycoprotein	SARS-CoV
3sci	F	 Spike glycoprotein	SARS-CoV
3sci	E	 Spike glycoprotein	SARS-CoV
2dd8	S	 Spike glycoprotein	SARS-CoV
2ghw	C	 Spike glycoprotein	SARS-CoV
2ghw	A	 Spike glycoprotein	SARS-CoV
2ghv	C	 Spike glycoprotein	SARS-CoV
2ghv	E	 Spike glycoprotein	SARS-CoV
3bgf	A	 Spike protein S1	SARS-CoV
3bgf	S	 Spike protein S1	SARS-CoV
7rks	S	 Spike protein S1	SARS-CoV
7rks	R	 Spike protein S1	SARS-CoV
6waq	B	 Spike glycoprotein	SARS-CoV
6waq	D	 Spike glycoprotein	SARS-CoV
2ajf	F	 SARS-coronavirus spike protein	SARS-CoV
2ajf	E	 SARS-coronavirus spike protein	SARS-CoV
3scl	F	 Spike glycoprotein	SARS-CoV
3scl	E	 Spike glycoprotein	SARS-CoV
3d0g	F	 Spike glycoprotein	SARS-CoV
3d0g	E	 Spike glycoprotein	SARS-CoV
3d0h	F	 Spike glycoprotein	SARS-CoV
3d0h	E	 Spike glycoprotein	SARS-CoV
3scj	F	 Spike glycoprotein	SARS-CoV
3scj	E	 Spike glycoprotein	SARS-CoV
3d0i	F	 Spike glycoprotein	SARS-CoV
3d0i	E	 Spike glycoprotein	SARS-CoV
3sck	F	 Spike glycoprotein	SARS-CoV
3sck	E	 Spike glycoprotein	SARS-CoV
5zvm	C	 Spike glycoprotein	SARS-CoV
5zvm	B	 Spike glycoprotein	SARS-CoV
5zvm	A	 Spike glycoprotein	SARS-CoV
2bez	C	 Spike glycoprotein	SARS-CoV
5xjk	A	 Spike protein S2	SARS-CoV
1zv8	K	 E2 glycoprotein	SARS-CoV
1zv8	I	 E2 glycoprotein	SARS-CoV
1zv8	G	 E2 glycoprotein	SARS-CoV
1zv8	E	 E2 glycoprotein	SARS-CoV
1zv8	C	 E2 glycoprotein	SARS-CoV
1zv8	A	 E2 glycoprotein	SARS-CoV
2beq	C	 Spike glycoprotein	SARS-CoV
2beq	B	 Spike glycoprotein	SARS-CoV
2beq	A	 Spike glycoprotein	SARS-CoV
2run	A	 Pre-transmembrane domain of Spike glycoprotein	SARS-CoV
4l3n	B	 S protein	MERS-CoV
4l3n	A	 S protein	MERS-CoV
5yy5	B	 MERS-CoV RBD	MERS-CoV
5yy5	A	 MERS-CoV RBD	MERS-CoV
5zxv	B	 MERS-CoV RBD	MERS-CoV
5zxv	A	 MERS-CoV RBD	MERS-CoV
6c6y	S	 Spike glycoprotein	MERS-CoV
6c6y	R	 Spike glycoprotein	MERS-CoV
4zpw	S	 Spike glycoprotein	MERS-CoV
4zpw	R	 Spike glycoprotein	MERS-CoV
4zpv	R	 Spike glycoprotein	MERS-CoV
4zpv	S	 Spike glycoprotein	MERS-CoV
4zpt	S	 Spike glycoprotein	MERS-CoV
4zpt	R	 Spike glycoprotein	MERS-CoV
4l72	B	 MERS-CoV RBD	MERS-CoV
5zvk	C	 Human Coronavirus MERS HR1 motif	MERS-CoV
5zvk	B	 Human Coronavirus MERS HR1 motif	MERS-CoV
5zvk	A	 Human Coronavirus MERS HR1 motif	MERS-CoV
4mod	B	 HR1 of S protein, LINKER, HR2 of S protein	MERS-CoV
4mod	A	 HR1 of S protein, LINKER, HR2 of S protein	MERS-CoV
7s3m	A	 Spike glycoprotein	MERS-CoV
7m55	A	 Spike glycoprotein stem helix peptide	MERS-CoV
6ack	C	 Spike glycoprotein	SARS-CoV
6ack	B	 Spike glycoprotein	SARS-CoV
6ack	A	 Spike glycoprotein	SARS-CoV
6acj	C	 Spike glycoprotein	SARS-CoV
6acj	B	 Spike glycoprotein	SARS-CoV
6acj	A	 Spike glycoprotein	SARS-CoV
6acg	C	 Spike glycoprotein	SARS-CoV
6acg	B	 Spike glycoprotein	SARS-CoV
6acg	A	 Spike glycoprotein	SARS-CoV
6acd	C	 Spike glycoprotein	SARS-CoV
6acd	B	 Spike glycoprotein	SARS-CoV
6acd	A	 Spike glycoprotein	SARS-CoV
6acc	C	 Spike glycoprotein	SARS-CoV
6acc	B	 Spike glycoprotein	SARS-CoV
6acc	A	 Spike glycoprotein	SARS-CoV
5xlr	C	 Spike glycoprotein	SARS-CoV
5xlr	B	 Spike glycoprotein	SARS-CoV
5xlr	A	 Spike glycoprotein	SARS-CoV
5wrg	C	 Spike glycoprotein	SARS-CoV
5wrg	B	 Spike glycoprotein	SARS-CoV
5wrg	A	 Spike glycoprotein	SARS-CoV
7sg4	C	 Spike glycoprotein	SARS-CoV
7sg4	B	 Spike glycoprotein	SARS-CoV
7sg4	A	 Spike glycoprotein	SARS-CoV
5x5b	C	 Spike glycoprotein	SARS-CoV
5x5b	B	 Spike glycoprotein	SARS-CoV
5x5b	A	 Spike glycoprotein	SARS-CoV
5x58	C	 Spike glycoprotein	SARS-CoV
5x58	B	 Spike glycoprotein	SARS-CoV
5x58	A	 Spike glycoprotein	SARS-CoV
6cs2	C	 Spike glycoprotein,Fibritin	SARS-CoV
6cs2	B	 Spike glycoprotein,Fibritin	SARS-CoV
6cs2	A	 Spike glycoprotein,Fibritin	SARS-CoV
6cs1	A	 Spike glycoprotein,Fibritin	SARS-CoV
6cs1	C	 Spike glycoprotein,Fibritin	SARS-CoV
6cs1	B	 Spike glycoprotein,Fibritin	SARS-CoV
6cs0	C	 Spike glycoprotein,Fibritin	SARS-CoV
6cs0	B	 Spike glycoprotein,Fibritin	SARS-CoV
6cs0	A	 Spike glycoprotein,Fibritin	SARS-CoV
6crz	C	 Spike glycoprotein,Fibritin	SARS-CoV
6crz	B	 Spike glycoprotein,Fibritin	SARS-CoV
6crz	A	 Spike glycoprotein,Fibritin	SARS-CoV
6crx	A	 Spike glycoprotein,Fibritin	SARS-CoV
6crx	C	 Spike glycoprotein,Fibritin	SARS-CoV
6crx	B	 Spike glycoprotein,Fibritin	SARS-CoV
6crw	C	 Spike glycoprotein,Fibritin	SARS-CoV
6crw	B	 Spike glycoprotein,Fibritin	SARS-CoV
6crw	A	 Spike glycoprotein,Fibritin	SARS-CoV
6nb7	C	 Spike glycoprotein	SARS-CoV
6nb7	B	 Spike glycoprotein	SARS-CoV
6nb7	A	 Spike glycoprotein	SARS-CoV
6nb6	C	 Spike glycoprotein	SARS-CoV
6nb6	B	 Spike glycoprotein	SARS-CoV
6nb6	A	 Spike glycoprotein	SARS-CoV
6crv	C	 Spike glycoprotein,Fibritin	SARS-CoV
6crv	B	 Spike glycoprotein,Fibritin	SARS-CoV
6crv	A	 Spike glycoprotein,Fibritin	SARS-CoV
7akj	A	 Spike glycoprotein	SARS-CoV
7akj	B	 Spike glycoprotein	SARS-CoV
7akj	C	 Spike glycoprotein	SARS-CoV
6xra	B	 Spike glycoprotein	SARS-CoV-2
6xra	A	 Spike glycoprotein	SARS-CoV-2
6xra	C	 Spike glycoprotein	SARS-CoV-2
6xr8	C	 Spike glycoprotein	SARS-CoV-2
6xr8	B	 Spike glycoprotein	SARS-CoV-2
6xr8	A	 Spike glycoprotein	SARS-CoV-2
7n64	B	 Spike glycoprotein	SARS-CoV-2
7n64	A	 Spike glycoprotein	SARS-CoV-2
7n62	A	 Spike glycoprotein	SARS-CoV-2
7krs	C	 Spike glycoprotein	SARS-CoV-2
7krs	B	 Spike glycoprotein	SARS-CoV-2
7krs	A	 Spike glycoprotein	SARS-CoV-2
7krr	A	 Spike glycoprotein	SARS-CoV-2
7krr	C	 Spike glycoprotein	SARS-CoV-2
7krr	B	 Spike glycoprotein	SARS-CoV-2
7krq	C	 Spike glycoprotein	SARS-CoV-2
7krq	B	 Spike glycoprotein	SARS-CoV-2
7krq	A	 Spike glycoprotein	SARS-CoV-2
7fg7	A	 Spike glycoprotein	SARS-CoV-2
7fg3	A	 Spike glycoprotein	SARS-CoV-2
7fg2	A	 Spike glycoprotein	SARS-CoV-2
7cwu	A	 Spike glycoprotein	SARS-CoV-2
7cwu	C	 Spike glycoprotein	SARS-CoV-2
7cwu	B	 Spike glycoprotein	SARS-CoV-2
7cwo	A	 Spike glycoprotein	SARS-CoV-2
7cwn	C	 Spike glycoprotein	SARS-CoV-2
7cwn	B	 Spike glycoprotein	SARS-CoV-2
7cwn	A	 Spike glycoprotein	SARS-CoV-2
7cwm	C	 Spike glycoprotein	SARS-CoV-2
7cwm	B	 Spike glycoprotein	SARS-CoV-2
7cwm	A	 Spike glycoprotein	SARS-CoV-2
7cwl	C	 Spike glycoprotein	SARS-CoV-2
7cwl	B	 Spike glycoprotein	SARS-CoV-2
7cwl	A	 Spike glycoprotein	SARS-CoV-2
6zwv	C	 Spike glycoprotein	SARS-CoV-2
6zwv	B	 Spike glycoprotein	SARS-CoV-2
6zwv	A	 Spike glycoprotein	SARS-CoV-2
7dx9	C	 Spike glycoprotein	SARS-CoV-2
7dx9	B	 Spike glycoprotein	SARS-CoV-2
7dx9	A	 Spike glycoprotein	SARS-CoV-2
7dx8	C	 Spike glycoprotein	SARS-CoV-2
7dx8	B	 Spike glycoprotein	SARS-CoV-2
7dx8	A	 Spike glycoprotein	SARS-CoV-2
7dx7	C	 Spike glycoprotein	SARS-CoV-2
7dx7	B	 Spike glycoprotein	SARS-CoV-2
7dx7	A	 Spike glycoprotein	SARS-CoV-2
7dx6	C	 Spike glycoprotein	SARS-CoV-2
7dx6	B	 Spike glycoprotein	SARS-CoV-2
7dx6	A	 Spike glycoprotein	SARS-CoV-2
7dx5	C	 Spike glycoprotein	SARS-CoV-2
7dx5	B	 Spike glycoprotein	SARS-CoV-2
7dx5	A	 Spike glycoprotein	SARS-CoV-2
7dx3	C	 Spike glycoprotein	SARS-CoV-2
7dx3	B	 Spike glycoprotein	SARS-CoV-2
7dx3	A	 Spike glycoprotein	SARS-CoV-2
7dx0	C	 Spike glycoprotein	SARS-CoV-2
7dx0	B	 Spike glycoprotein	SARS-CoV-2
7dx0	A	 Spike glycoprotein	SARS-CoV-2
7dwz	C	 Spike glycoprotein	SARS-CoV-2
7dwz	B	 Spike glycoprotein	SARS-CoV-2
7dwz	A	 Spike glycoprotein	SARS-CoV-2
7dwy	C	 Spike glycoprotein	SARS-CoV-2
7dwy	B	 Spike glycoprotein	SARS-CoV-2
7dwy	A	 Spike glycoprotein	SARS-CoV-2
7dwx	J	 Spike glycoprotein	SARS-CoV-2
7dwx	I	 Spike glycoprotein	SARS-CoV-2
